"","year","month","mean_temp_ger"
"561",2015,"04",8.42
"562",2016,"04",7.89
"563",2017,"04",7.42
"564",2018,"04",12.32
"565",2019,"04",9.62
"566",2020,"04",10.35
"567",2021,"04",6.02
"568",2022,"04",7.75
"569",1881,"05",11.81
"570",1882,"05",11.96
"571",1883,"05",12.38
"572",1884,"05",12.67
"573",1885,"05",9.95
"574",1886,"05",12.71
"575",1887,"05",10.02
"576",1888,"05",12.08
"577",1889,"05",15.78
"578",1890,"05",13.6
"579",1891,"05",12.65
"580",1892,"05",12.18
"581",1893,"05",12.25
"582",1894,"05",11.32
"583",1895,"05",12.23
"584",1896,"05",10.7
"585",1897,"05",10.64
"586",1898,"05",11.29
"587",1899,"05",11.06
"588",1900,"05",10.84
"589",1901,"05",12.82
"590",1902,"05",8.61
"591",1903,"05",12.61
"592",1904,"05",12.29
"593",1905,"05",12.06
"594",1906,"05",13.08
"595",1907,"05",12.89
"596",1908,"05",13.19
"597",1909,"05",10.91
"598",1910,"05",12.31
"599",1911,"05",13.13
"600",1912,"05",11.9
"601",1913,"05",12.38
"602",1914,"05",10.9
"603",1915,"05",13.09
"604",1916,"05",13.12
"605",1917,"05",15
"606",1918,"05",13.98
"607",1919,"05",11.56
"608",1920,"05",13.82
"609",1921,"05",13.98
"610",1922,"05",13.56
"611",1923,"05",11.44
"612",1924,"05",13.65
"613",1925,"05",13.88
"614",1926,"05",10.71
"615",1927,"05",10.92
"616",1928,"05",10.07
"617",1929,"05",13.08
"618",1930,"05",11.64
"619",1931,"05",15.1
"620",1932,"05",12.52
"621",1933,"05",11.47
"622",1934,"05",13.34
"623",1935,"05",10.49
"624",1936,"05",12.28
"625",1937,"05",14.67
"626",1938,"05",10.72
"627",1939,"05",10.47
"628",1940,"05",12.21
"629",1941,"05",9.2
"630",1942,"05",12.08
"631",1943,"05",12.78
"632",1944,"05",11.55
"633",1945,"05",14
"634",1946,"05",13.94
"635",1947,"05",14.67
"636",1948,"05",13.57
"637",1949,"05",12.17
"638",1950,"05",13.75
"639",1951,"05",11.52
"640",1952,"05",12.29
"641",1953,"05",13.19
"642",1954,"05",12.17
"643",1955,"05",10.25
"644",1956,"05",12.49
"645",1957,"05",9.7
"646",1958,"05",13.34
"647",1959,"05",12.66
"648",1960,"05",12.79
"649",1961,"05",10.29
"650",1962,"05",9.75
"651",1963,"05",11.96
"652",1964,"05",13.56
"653",1965,"05",11.16
"654",1966,"05",12.96
"655",1967,"05",12.51
"656",1968,"05",10.9
"657",1969,"05",12.92
"658",1970,"05",11.41
"659",1971,"05",13.95
"660",1972,"05",11.3
"661",1973,"05",12.5
"662",1974,"05",10.97
"663",1975,"05",11.79
"664",1976,"05",12.84
"665",1977,"05",11.68
"666",1978,"05",11.57
"667",1979,"05",12.35
"668",1980,"05",10.71
"669",1981,"05",13.17
"670",1982,"05",12.44
"671",1983,"05",11.33
"672",1984,"05",10.83
"673",1985,"05",13.35
"674",1986,"05",14.14
"675",1987,"05",9.69
"676",1988,"05",14.21
"677",1989,"05",13.78
"678",1990,"05",13.89
"679",1991,"05",9.54
"680",1992,"05",14.5
"681",1993,"05",14.63
"682",1994,"05",12.55
"683",1995,"05",12.23
"684",1996,"05",11.15
"685",1997,"05",12.66
"686",1998,"05",14.03
"687",1999,"05",13.76
"688",2000,"05",14.62
"689",2001,"05",14.39
"690",2002,"05",13.77
"691",2003,"05",14.14
"692",2004,"05",11.58
"693",2005,"05",12.76
"694",2006,"05",13.06
"695",2007,"05",14.16
"696",2008,"05",14.51
"697",2009,"05",13.62
"698",2010,"05",10.43
"699",2011,"05",13.87
"700",2012,"05",14.21
"701",2013,"05",11.78
"702",2014,"05",12.4
"703",2015,"05",12.34
"704",2016,"05",13.69
"705",2017,"05",14.13
"706",2018,"05",16.03
"707",2019,"05",10.99
"708",2020,"05",11.91
"709",2021,"05",10.72
"710",2022,"05",14.44
"711",1881,"06",15.08
"712",1882,"06",14.34
"713",1883,"06",16.23
"714",1884,"06",13.09
"715",1885,"06",16.67
"716",1886,"06",14.27
"717",1887,"06",15.45
"718",1888,"06",15.79
"719",1889,"06",18.62
"720",1890,"06",13.87
"721",1891,"06",14.73
"722",1892,"06",15.1
"723",1893,"06",15.8
"724",1894,"06",14.22
"725",1895,"06",15.72
"726",1896,"06",16.68
"727",1897,"06",16.97
"728",1898,"06",14.81
"729",1899,"06",14.72
"730",1900,"06",15.95
"731",1901,"06",15.61
"732",1902,"06",15.3
"733",1903,"06",14.84
"734",1904,"06",15.23
"735",1905,"06",17.01
"736",1906,"06",14.71
"737",1907,"06",14.6
"738",1908,"06",17.01
"739",1909,"06",14.06
"740",1910,"06",16.5
"741",1911,"06",14.91
"742",1912,"06",15.57
"743",1913,"06",14.75
"744",1914,"06",14.55
"745",1915,"06",17.51
"746",1916,"06",12.79
"747",1917,"06",18.76
"748",1918,"06",12.98
"749",1919,"06",14.99
"750",1920,"06",14.9
"751",1921,"06",14.4
"752",1922,"06",15.65
"753",1923,"06",11.19
"754",1924,"06",15.12
"755",1925,"06",14.96
"756",1926,"06",13.81
"757",1927,"06",14.08
"758",1928,"06",14.09
"759",1929,"06",14.48
